UserID,JobTitleHistory
7035,"['IT Computer Specialist', 'Security Officer', 'Supporting FEMA - Technical Support', 'Security Officer', 'Custodian', 'MIS Manager', 'Security Officer', 'Network Administrator', 'Field - Service Engineer', 'Field Service Engineer']"
25479,"['Sprint Senior Lead', 'VIP Technical Consultant', 'Sprint World Wide Representative', 'Product Support Representative', 'National Business Service Representative', 'Trouble Specialist III', 'Retention Solutions Specialist III', 'Team Leader', 'Team Advisor', 'Customer Service Representative']"
43647,"['Priority Tutoring Tutor', 'Lighthouse Teacher', 'Childcare Provider', 'Intern', 'Ennumerator', 'Ennumerator', 'Legal Assistant', 'Office Assistant', 'Store Clerk', 'Office Assistant']"
63160,"['Professional Project Consultant-JV Accounting', 'Sr. Business Analyst-Budget Management', 'Senior Gas Plant Accounting Analyst', 'Variable Expense Business Analyst', 'Area People Director', 'Financial Manager/Program Administrator', 'General Business Manager/Consultant-P/T', 'Senior Energy Accountant/Team Lead', 'Senior Financial Analyst-Commodity Accounting', 'Senior Financial Analyst/Gas Commodity Accounting']"
63301,"['Member', 'REALTOR/LOAN OFFICER', 'OWNER/MANAGER', 'LOAN OFFICER/PROPERTY MANAGER', 'AGENT/LOAN OFFICER/OWNER', 'FIRE PREVENTION COORDINATOR', 'WAREHOUSE SUPERVISOR', 'PRODUCTION FOREMAN', 'STAFF MANAGER, HERALD LIFE', 'OPERATOR']"
76133,"['Account development', 'Territory Manager', 'Runner', 'career sales', 'Territory Manager', 'Senior Operator', 'FT operator', 'Roughneck', 'Sales Rep', 'Junior Operator']"
82243,"['Stockroom Manager/ Sales Associate Hush Puppies Merrell Sebago', 'Administration Supervisor', 'Part-time Customer Service Representative', 'Part-time Document Imaging Technician', 'Commanding Officer, Education Service Officer', 'Full-time Student', 'Weapons Augmentation Team Chief', 'Fire Control Technician, LPO', 'Fire Control Technician', 'United States Coast Guard Seaman']"
86253,"['Substitute Teacher', 'Substitute Teacher for Winston Salem', 'Four Year/Pre-K Teacher/After school Lead teacher', 'Tutor', 'Substitute Teacher', 'After school Lead teacher', 'Student Teaching Second Grade', 'Student Teaching Internship Third Grade', 'Intern', 'after school teacher']"
87990,"['Loans to get the loans Insured, Initial Data Entry', 'Customer Service', 'Activating, Add features, Technical Service, Took', 'Customer Service Representative', 'Technical Support Representative', 'Assistant Manager', 'Third-Key (Supervisor)', 'Supervisor/Sales', 'Cashier/Sales/Assistant Manager', 'Mortgage Operation Specialists & Research Analyst']"
113400,"['Financial Analyst', 'Associate Professor', 'Accounting Manager', 'Sr Internal Auditor', 'Manager, Inventory Control & Audit', 'Controller', 'Manager-Corporate Planning', 'Manager - Logistics & Inventory Control Accounting & Financial Analyst', 'Plant Controller', 'Assistant Manager - Logistics']"
115682,"['Freelance Computer Technician', 'PC Technician - Deployment', 'Freelance Computer Technician', 'Help Desk Support Specialist', 'Technical Support Specialist, Custom Support Que', 'Network Administration Assistant/Local Touch Technician', 'Freelance Computer Technician', 'Client Infrastructure Rep 4', 'Freelance Computer Technician', 'Point of Sale Installer Technician']"
115835,"['Maintenance Technician', 'Service Technician', 'HVAC Instructor', 'Service Technician', 'Service Technician', 'Maintenance Technician', 'Service Technician', 'Maintenance Technician', 'Service Technician', 'Service Technician']"
117366,"['Regional Director of Nursing', 'Field RN Clinical Case Manager', 'Hi-Tech/Infusion Therapy Clinical Manager', 'Clinical Director', 'Clinical Operations Manager Therapy Management Program', 'Regional Infusion Nurse Coordinator & Account Mgr', 'Infusion Nurse Consultant & Account Mgr', 'Home Infusion Nurse Supervisor', 'Registered Nurse', 'Founder']"
118534,"['Territory Sales Rep', 'Territory Sales Rep', 'District Manager', 'Kitchen Designer/Sales', '#1 sales designer', 'Store Manager/ Sales Designer', 'Store Manager, continued', 'Sales Manager', 'Assistant Sales Manager', 'Salesperson. Assistant Sales Manager']"
123767,"['Mechanic, Maintenance, Repair Technician, Technical Adviser', 'Mechanic, Maintenance, Repair Technician, Technical Adviser', 'Instructor/Teacher', 'Maintenance Mechanical Technician', 'Mechanic / Laborer', 'Wrecker Operator', 'Instructor / Teacher', 'Mechanic, Road Service Technician, Sales, and Air System Designer', 'Wrecker Operator', 'Mechanic']"
124932,"['Consultant', 'Consultant', 'Consultant', 'Consultant', 'Consultant', 'Consultant', 'Qualxserv/Go2IT Group/ IBM Field Service Contractor', 'Administrative Office of the Courts', 'Consultant', 'Help Desk']"
